Entity,Year,Government expenditure on primary education as % of GDP (%),Share of education in government expenditure (% of government expenditure),Total Government expenditure on education (% of GDP),Expected Years of Schooling,"Unemployment, total (% of total labor force)","Literacy rate, youth (ages 15-24), gender parity index (GPI).1","Literacy rate, adult total (% of people ages 15 and above).1"
Togo,2003,2.05910992622375,27.7564296722412,3.32609009742737,10.19252,4.2300000191,0.7637963891,53.177600861
Togo,2004,1.54983997344971,21.8306903839111,3.10963010787964,10.30912,4.2300000191,0.7637963891,53.177600861
Togo,2005,1.42334997653961,17.6780796051025,3.15978002548218,10.38064,4.2300000191,0.7637963891,53.177600861
Togo,2007,1.50652003288269,18.15452003479,3.51062989234924,10.23967,4.2300000191,0.7637963891,53.177600861
Togo,2008,1.5127899646759,19.2456607818604,3.2853000164032,10.6899395,4.2300000191,0.7637963891,53.177600861
Togo,2010,2.28572988510132,19.6157608032227,4.09635019302368,11.59048,4.2300000191,0.7637963891,53.177600861
Togo,2012,2.97042989730835,17.6804294586182,4.71920013427734,12.15356,4.2300000191,0.7637963891,53.177600861
Togo,2013,2.5806999206543,16.5920696258545,4.42364978790283,12.26637,4.2300000191,0.7637963891,53.177600861
Tonga,2002,1.86445999145508,15.8265800476074,3.79500007629395,13.61392,5.1799998283,,
Tonga,2004,1.7325199842453,19.0971698760986,3.91376996040344,14.615742,5.1799998283,,
Uganda,2004,3.03135991096497,20.3083400726318,4.95237016677856,10.87412,1.9099999666,0.95354998112,73.211883545
Uganda,2011,1.60544002056122,13.6113700866699,2.30882000923157,11.195158,1.9099999666,0.95354998112,73.211883545
United Arab Emirates,2011,0.434329986572266,,,12.827039,,,
United Arab Emirates,2012,0.423000007867813,,,12.945893,,,
Vanuatu,2000,2.55824995040894,27.52419090271,7.0036301612854,10.08658,4.5599999428,1.0053299665,84.699996948
Vanuatu,2001,2.49305009841919,40.0775489807129,8.95114994049072,10.19987,4.5599999428,1.0053299665,84.699996948
Vanuatu,2008,2.87579989433289,21.4056301116943,5.95150995254517,10.849923,4.5599999428,1.0053299665,84.699996948
Venezuela,2006,1.01812994480133,,3.66905999183655,13.141215,,,
Venezuela,2007,1.15401995182037,,3.62732005119324,13.699343,,,
Venezuela,2009,2.16862988471985,,6.87468004226685,14.31676,,,
Vietnam,2008,1.43585002422333,18.0012397766113,4.88674020767212,12.389684,1.1100000143,,
Yemen,2011,2.90802001953125,,,9.09871,,,
Zambia,2004,1.57317996025085,10.5849895477295,2.46342992782593,9.605761,12.930000305,,
Zimbabwe,2010,1.01784002780914,8.53672027587891,1.54405999183655,11.108115,,,
Antigua and Barbuda,2002,0.983720004558563,11.7015399932861,3.39525008201599,15.03484,,,
Aruba,2002,1.4279500246048,19.7571506500244,4.92364978790283,,6.9000000954,1.0028699636,97.291252136
Aruba,2004,1.17736005783081,14.8978595733643,4.40848016738892,,6.9000000954,1.0028699636,97.291252136
Aruba,2005,1.25127005577087,18.9007091522217,4.68132019042969,,6.9000000954,1.0028699636,97.291252136
Bermuda,2004,0.709909975528717,11.1138496398926,1.77587997913361,,6.4899997711,,
Bermuda,2005,0.810370028018951,12.1054000854492,1.98877000808716,,6.4899997711,,
Macao,2000,0.912760019302368,11.8389101028442,3.31438994407654,,,,
Macao,2002,0.658990025520325,10.7146902084351,2.84295988082886,,,,
Macao,2003,0.717209994792938,10.3880701065063,2.78016996383667,,,,
Monaco,2004,0.191449999809265,5.925950050354,1.2438600063324,,3.5999999046,,
Monaco,2009,0.200000002980232,6.59881019592285,1.35459005832672,,3.5999999046,,
Monaco,2010,0.201350003480911,6.36322021484375,1.31735002994537,,3.5999999046,,
Monaco,2011,0.189160004258156,8.07616996765137,1.58989000320435,,3.5999999046,,
Monaco,2012,0.182549998164177,8.87594985961914,1.78004002571106,,3.5999999046,,
Monaco,2013,0.175060003995895,7.05921983718872,1.33440005779266,,3.5999999046,,
Monaco,2014,0.163450002670288,5.00886011123657,1.02195000648499,,3.5999999046,,
Albania,2013,2.01438999176025,12.1239099502563,3.53929996490479,14.92564,15.869999886,,
Aruba,2001,1.23860001564026,21.3203907012939,4.73986005783081,,6.9000000954,1.0028699636,97.291252136
Argentina,2000,1.63477003574371,16.2261505126953,4.58030986785889,15.53583,15.0,1.0042300224,97.193313599
Argentina,2002,1.42349994182587,16.4422092437744,4.01734018325806,16.27959,19.590000153,1.0042300224,97.193313599
Argentina,2003,1.34384000301361,14.3547201156616,3.53504991531372,16.17555,15.359999657,1.0042300224,97.193313599
Argentina,2004,1.15831005573273,15.1393003463745,3.48652005195618,16.22597,13.520000458,1.0042300224,97.193313599
Argentina,2005,1.18798005580902,15.8031702041626,3.86000990867615,15.96781,11.510000229,1.0042300224,97.193313599
Argentina,2007,1.38224005699158,15.1015701293945,4.46260023117065,16.1728,8.470000267,1.0042300224,97.193313599
Argentina,2008,1.52313995361328,15.7478399276733,4.84440994262695,16.34155,7.8400001526,1.0042300224,97.193313599
Armenia,2012,0.708500027656555,12.3689699172974,2.77248001098633,13.116395,17.299999237,,
Armenia,2013,0.532970011234283,11.1367597579956,2.65018010139465,13.11046,16.180000305,,
Australia,2000,1.66751003265381,13.3601598739624,4.89146995544434,20.771261,6.2800002098,,
Australia,2005,1.70098996162415,13.585129737854,4.91029977798462,21.543814,5.0300002098,,
Australia,2006,1.65921998023987,13.1781997680664,4.75019979476929,21.698326,4.7800002098,,
Australia,2007,1.63798999786377,13.0302696228027,4.66089010238647,21.852837,4.3800001144,,
Australia,2008,1.641970038414,12.5997200012207,4.63776016235352,22.007347,4.2300000191,,
Australia,2009,1.83148002624512,13.421669960022,5.08582019805908,22.161858,5.5599999428,,
Australia,2010,2.04976010322571,14.3240003585815,5.55005979537964,22.316368,5.2100000381,,
Australia,2011,1.83422005176544,13.4849996566772,5.07451009750366,22.470879,5.0799999237,,
Australia,2012,1.67166996002197,13.1744003295898,4.86899995803833,22.62539,5.2199997902,,
Australia,2013,1.72976005077362,14.0413904190063,5.22974014282227,22.7799,5.6599998474,,
Austria,2000,1.10299003124237,11.0332202911377,5.58880996704102,15.259723,4.6900000572,,
Austria,2001,1.09713995456696,10.8563203811646,5.57547998428345,15.32174,4.0100002289,,
Austria,2002,1.09542000293732,10.5323295593262,5.52213001251221,15.383757,4.8499999046,,
Austria,2003,1.06147003173828,10.7396202087402,5.36183023452759,15.445773,4.7800002098,,
Austria,2004,1.00836002826691,9.87333011627197,5.30243015289307,15.50779,5.9699997902,,
Austria,2005,1.00134003162384,10.2618503570557,5.24937009811401,15.569807,5.6799998283,,
Austria,2006,0.975390017032623,10.3745803833008,5.22652006149292,15.631824,5.3200001717,,
Austria,2007,0.933350026607513,10.4522895812988,5.14690017700195,15.69384,4.9099998474,,
Austria,2008,0.944970011711121,10.5551500320435,5.26395988464355,15.77006,4.1999998093,,
Austria,2009,1.00511002540588,10.583930015564,5.73024988174438,15.758,5.3699998856,,
Austria,2010,0.980859994888306,10.7891302108765,5.70047998428345,15.99389,4.8800001144,,
Austria,2011,0.960640013217926,10.9884901046753,5.59226989746094,16.0272,4.6399998665,,
Austria,2012,0.852580010890961,10.7011804580688,5.48040008544922,16.08506,4.9099998474,,
Austria,2013,0.90719997882843,10.7402896881104,5.54711008071899,15.84849,5.3699998856,,
Bangladesh,2003,0.940090000629425,16.6816291809082,2.06939005851746,8.31082,4.3200001717,1.0,46.663600922
Bangladesh,2006,0.894219994544983,17.3365306854248,2.13128995895386,8.81744,3.5899999142,1.0,46.663600922
Bangladesh,2009,0.867470026016235,14.0298700332642,1.9394199848175,9.22451,5.0,1.0,46.663600922
Barbados,2000,1.27779996395111,22.1503505706787,4.71585988998413,14.03751,9.3500003815,0.99980002642,99.599998474
Barbados,2001,1.73666000366211,26.8888206481934,6.05536985397339,13.98322,9.8500003815,0.99980002642,99.599998474
Barbados,2002,1.53090000152588,24.7244892120361,5.88062000274658,14.193809,10.319999695,0.99980002642,99.599998474
Barbados,2003,1.64191997051239,18.5845603942871,6.24569988250732,14.404397,11.0,0.99980002642,99.599998474
Belgium,2005,1.36146998405457,11.1755199432373,5.79585981369019,18.71476,8.4399995804,,
Belgium,2008,1.49600994586945,12.4724502563477,6.33294010162354,18.99139,6.9800000191,,
Belgium,2009,1.46116995811462,11.8105497360229,6.45809984207153,19.01243,7.9099998474,,
Belgium,2010,1.50694000720978,11.9576501846313,6.44259023666382,19.07273,8.2899999619,,
Belgium,2011,1.48869001865387,11.6301403045654,6.43199014663696,19.1281,7.1399998665,,
Belize,2008,2.691890001297,18.8943901062012,5.77263021469116,12.70682,8.1800003052,1.0076400042,76.90297699
Belize,2013,2.48957991600037,22.1886196136475,6.42537021636963,12.75833,8.3500003815,1.0076400042,76.90297699
Benin,2010,2.65676999092102,26.1439609527588,3.67997002601624,11.043165,1.0399999619,0.52144730091,34.657848358
Bhutan,2004,1.24276995658875,18.8022994995117,6.60906982421875,8.987701,2.4900000095,0.84911000729,52.814689636
Bhutan,2009,1.37896001338959,12.8616695404053,4.74174022674561,11.1986,3.9600000381,0.84911000729,52.814689636
Bhutan,2010,1.20465004444122,11.7936897277832,4.12473011016846,11.67941,3.3199999332,0.84911000729,52.814689636
Bhutan,2011,1.46613001823425,13.0573701858521,4.76523017883301,12.15114,3.2300000191,0.84911000729,52.814689636
Bhutan,2013,1.21968996524811,15.6338195800781,5.72275018692017,12.50473,2.8699998856,0.84911000729,52.814689636
Bhutan,2014,1.88734996318817,17.030309677124,6.04489994049072,12.624212,2.6300001144,0.84911000729,52.814689636
Botswana,2009,1.71680998802185,20.4773998260498,9.63292026519775,12.409164,16.170000076,,
Brazil,2001,1.1530100107193,10.6109399795532,3.84468007087708,14.548555,10.649999619,1.0216499567,88.616241455
