,NGH_Name,Assault (Non-domestic),Break & Enter,Robbery,Theft FROM Vehicle,Theft OF Vehicle,Violence Other (Non-domestic),Latitude,Longitude,Cluster_KMeans
180,POINT MCKAY,0,2,0,5,2,1,51.05954157614596,-114.146145979225,1
181,PUMP HILL,1,5,0,14,2,2,50.96682730463496,-114.100787615433,6
182,QUEENS PARK VILLAGE,5,0,0,1,0,0,51.085142935271136,-114.07760865369,4
183,QUEENSLAND,5,19,1,26,14,2,50.938220919477025,-114.022568260238,6
184,RAMSAY,6,20,1,26,10,2,51.03641116654691,-114.04253245854,6
185,RANCHLANDS,8,17,1,40,21,5,51.11915824143799,-114.18364347369601,1
186,RED CARPET,2,6,2,18,8,1,51.04251443668,-113.93877317698998,4
187,REDSTONE,1,4,1,5,6,1,51.1704461682522,-113.957794563222,4
188,RENFREW,8,81,1,141,24,1,51.0596584521481,-114.039175832326,5
189,RICHMOND,6,45,0,47,18,1,51.029705434694975,-114.118422468839,8
190,RIDEAU PARK,0,6,0,13,3,0,51.02487161915117,-114.074160532482,6
191,RIVERBEND,6,25,3,105,24,4,50.97597767010893,-114.01789266805,0
192,ROCKY RIDGE,2,29,0,52,19,2,51.14421495368811,-114.24589901587001,1
193,ROSEDALE,1,18,0,9,5,0,51.062712450882074,-114.078197287675,1
194,ROSEMONT,1,16,0,11,1,0,51.07839419932088,-114.090042964096,1
195,ROSSCARROCK,26,22,6,47,18,10,51.04327739256303,-114.145493740992,8
196,ROXBORO,0,3,0,6,0,1,51.02618614817001,-114.067632689909,6
197,ROYAL OAK,1,28,1,54,25,4,51.142705841683,-114.21992135149301,1
198,ROYAL VISTA,0,0,0,1,1,0,51.149464057036,-114.204207204917,1
199,RUNDLE,31,69,8,68,60,17,51.074239973669,-113.970058118649,2
200,RUTLAND PARK,1,7,0,13,16,1,51.01899179217816,-114.13736158459,1
201,SADDLE RIDGE,10,38,4,95,56,5,51.130573242134844,-113.945622522669,7
202,SADDLE RIDGE INDUSTRIAL,9,3,4,12,16,2,51.12518950614702,-113.975729682361,4
203,SAGE HILL,1,17,1,21,11,1,51.175676910514,-114.140750174548,1
204,SANDSTONE VALLEY,5,24,0,22,22,2,51.1377328448929,-114.094962509765,1
205,SCARBORO,0,12,0,9,8,1,51.040722505631,-114.107148836011,1
206,SCARBORO/ SUNALTA WEST,0,2,0,7,2,0,51.04219483282607,-114.1148587901,1
207,SCENIC ACRES,1,17,1,69,13,1,51.11266460946801,-114.217258259663,1
208,SECTION 23,0,12,0,1,1,1,50.97093554627702,-113.947804588884,6
209,SETON,9,0,0,3,3,3,50.87815510827797,-113.951983262373,6
210,SHAGANAPPI,13,10,3,26,5,2,51.04520482018895,-114.126642797077,1
211,SHAWNEE SLOPES,1,10,0,13,2,2,50.92618889834794,-114.08580303773802,6
212,SHAWNESSY,21,51,7,95,35,9,50.90330332947796,-114.073756821499,0
213,SHEPARD INDUSTRIAL,9,11,1,37,17,2,50.961483457792085,-113.992777567852,6
214,SHERWOOD,3,10,0,13,6,2,51.159989629829916,-114.152021658531,1
215,SIGNAL HILL,8,55,9,71,24,1,51.02286095741195,-114.179195894374,8
216,SILVER SPRINGS,7,26,0,57,21,4,51.10427008838388,-114.196279895291,1
217,SILVERADO,2,25,0,35,18,0,50.885075634965055,-114.071941914798,6
218,SKYLINE EAST,0,2,0,7,3,1,51.10015012382304,-114.03893128621398,4
219,SKYLINE WEST,2,1,0,1,1,0,51.1033304198396,-114.047392020085,4
220,SKYVIEW RANCH,4,46,0,39,25,8,51.156126734974116,-113.958374560746,7
221,SOMERSET,6,24,2,34,13,5,50.89869686344809,-114.08130751456902,0
222,SOUTH AIRWAYS,3,34,1,43,28,4,51.07421918868592,-114.005295675762,7
223,SOUTH CALGARY,5,47,2,71,23,2,51.02680703181486,-114.102069348471,8
224,SOUTH FOOTHILLS,0,48,0,8,10,2,50.971268833205926,-113.973642707649,6
225,SOUTHVIEW,21,18,4,48,21,3,51.03415568472206,-113.997338140443,7
226,SOUTHWOOD,25,40,6,96,35,11,50.95777356513106,-114.083200893081,0
227,SPRINGBANK HILL,3,46,0,49,11,3,51.02682412098812,-114.208458271936,1
228,SPRUCE CLIFF,5,22,0,22,9,3,51.048609671663904,-114.136282147874,1
229,ST. ANDREWS HEIGHTS,20,11,0,26,10,6,51.063906687036095,-114.12742928773501,1
230,STARFIELD,0,11,0,9,9,0,51.00143806430503,-113.939366366676,6
231,STONEGATE LANDING,1,1,0,0,0,0,51.1644685819905,-113.986682748038,4
232,STONEY 1,1,5,0,5,3,0,51.161187880607855,-114.02469848732402,4
233,STONEY 2,1,3,0,22,13,2,51.14338378225809,-114.017218214797,4
234,STONEY 4,0,2,0,0,2,0,51.17620448471408,-114.002757548674,4
235,STRATHCONA PARK,2,33,0,39,9,3,51.047403251082,-114.17757962941099,1
236,SUNALTA,23,62,5,81,40,11,51.042958639874094,-114.101467687736,5
237,SUNDANCE,2,25,2,36,16,2,50.9015551048631,-114.04204857668,6
238,SUNNYSIDE,3,54,3,52,16,2,51.0564192047929,-114.07902631006901,8
239,SUNRIDGE,70,37,10,76,52,18,51.07422159951711,-113.991700569993,2
240,TARADALE,15,55,7,85,61,8,51.11794016303892,-113.934002077973,7
241,TEMPLE,23,66,17,104,80,11,51.08879458509292,-113.94676773665898,2
242,THORNCLIFFE,20,75,12,101,51,7,51.10309955474104,-114.06877942116901,5
243,TUSCANY,5,67,2,103,25,4,51.121889851117,-114.24079065901302,8
244,TUXEDO PARK,13,54,3,90,38,8,51.07424524042207,-114.061044520077,5
245,UNIVERSITY HEIGHTS,3,17,0,16,8,2,51.07039131757593,-114.133076187082,1
