,NGH_Name,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Latitude,Longitude,Preschool,Kindergarten,Gr7-9,Gr10-12,Post-Secondary,Homemaker,Employed 0-30,Employed 30+,Unemployed,Retired,Permanently Unemployed,Employment_No Response,Income_Less than $30K,Income_30K to less than 60K,Income_60K to less than 100K,Income_100K to less than 125K,Income_125K to less than 150K,Income_150K to less than 200K,Income_200K to less than 250K,Income_250K or more,Income_No Response
0,ABBOTTSFIELD,35,8,0,8,4,16,6,0,53.57414300000001,-113.38875800000001,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0
1,ALBANY,8,8,0,2,2,9,2,1,53.632382,-113.54946399999999,100.0,69.0,22.0,4.0,29.0,45.0,50.0,417.0,40.0,46.0,16.0,445.0,10.0,56.0,63.0,30.0,9.0,14.0,13.0,3.0,350.0
2,ALBERTA AVENUE,123,119,1,26,13,156,99,2,53.568485,-113.485119,246.0,301.0,102.0,109.0,155.0,156.0,435.0,1861.0,369.0,508.0,171.0,2342.0,601.0,667.0,364.0,139.0,62.0,61.0,11.0,4.0,1138.0
3,ALDERGROVE,17,19,0,6,4,46,23,0,53.516888,-113.64124199999999,290.0,348.0,126.0,108.0,168.0,113.0,271.0,1711.0,223.0,451.0,61.0,1110.0,119.0,266.0,284.0,135.0,72.0,49.0,22.0,12.0,952.0
4,ALLARD,6,17,0,1,0,12,3,4,53.401301,-113.526641,201.0,172.0,50.0,41.0,57.0,91.0,106.0,747.0,91.0,77.0,5.0,1495.0,4.0,48.0,165.0,109.0,48.0,69.0,32.0,23.0,560.0
5,ALLENDALE,10,28,0,6,0,51,17,1,53.50227700000001,-113.504821,55.0,59.0,46.0,36.0,90.0,33.0,87.0,645.0,66.0,197.0,22.0,1403.0,66.0,112.0,123.0,59.0,30.0,33.0,11.0,9.0,815.0
6,AMBLESIDE,10,14,0,1,1,28,10,1,53.430642,-113.600677,367.0,280.0,74.0,43.0,119.0,129.0,203.0,1592.0,142.0,228.0,10.0,1250.0,67.0,196.0,284.0,168.0,124.0,164.0,71.0,66.0,1066.0
7,ARGYLL,0,7,0,0,0,10,2,1,53.503100999999994,-113.460539,28.0,20.0,11.0,18.0,14.0,5.0,30.0,221.0,17.0,91.0,3.0,319.0,18.0,25.0,33.0,17.0,22.0,10.0,3.0,3.0,204.0
8,ASPEN GARDENS,1,2,0,0,0,12,2,0,53.477535,-113.545664,61.0,137.0,72.0,57.0,82.0,52.0,131.0,503.0,55.0,259.0,11.0,230.0,32.0,69.0,100.0,44.0,45.0,63.0,28.0,32.0,217.0
9,ATHLONE,16,21,0,4,2,39,12,1,53.588026,-113.550982,90.0,147.0,74.0,76.0,100.0,65.0,175.0,954.0,112.0,280.0,34.0,1051.0,101.0,170.0,203.0,81.0,55.0,46.0,7.0,10.0,475.0
10,AVONMORE,4,24,0,0,0,39,13,0,53.50778,-113.451631,81.0,109.0,37.0,27.0,28.0,32.0,137.0,610.0,78.0,342.0,17.0,669.0,98.0,148.0,109.0,50.0,27.0,36.0,16.0,5.0,479.0
11,BALWIN,42,32,1,4,6,64,39,0,53.587951,-113.455075,192.0,240.0,85.0,74.0,65.0,81.0,206.0,823.0,303.0,382.0,76.0,1295.0,321.0,282.0,175.0,53.0,35.0,12.0,8.0,4.0,654.0
12,BANNERMAN,20,12,0,4,5,34,14,0,53.60395,-113.37862400000002,181.0,265.0,108.0,101.0,55.0,66.0,242.0,1072.0,217.0,293.0,70.0,359.0,172.0,239.0,280.0,111.0,43.0,41.0,9.0,7.0,255.0
13,BARANOW,4,11,0,9,5,27,10,1,53.605734,-113.53610299999998,63.0,41.0,16.0,4.0,23.0,30.0,42.0,309.0,42.0,210.0,17.0,980.0,144.0,143.0,94.0,18.0,11.0,5.0,2.0,3.0,555.0
14,BATURYN,10,15,0,5,4,26,19,0,53.63098,-113.50433900000002,152.0,248.0,130.0,108.0,102.0,122.0,192.0,1339.0,170.0,531.0,52.0,1772.0,33.0,138.0,202.0,101.0,46.0,26.0,7.0,4.0,1191.0
15,BEACON HEIGHTS,38,25,1,16,6,27,31,1,53.573539,-113.40604,127.0,139.0,75.0,52.0,34.0,73.0,157.0,1021.0,248.0,421.0,70.0,470.0,142.0,152.0,190.0,62.0,33.0,24.0,6.0,3.0,591.0
16,BEARSPAW,2,4,0,0,0,10,8,0,53.443462,-113.500528,87.0,119.0,40.0,56.0,106.0,60.0,123.0,626.0,64.0,443.0,15.0,364.0,56.0,103.0,127.0,72.0,46.0,63.0,25.0,23.0,302.0
17,BEAUMARIS,12,15,0,2,3,36,17,2,53.618422,-113.505007,131.0,155.0,72.0,65.0,113.0,93.0,177.0,1010.0,121.0,967.0,49.0,1445.0,114.0,209.0,182.0,72.0,48.0,47.0,20.0,14.0,1253.0
18,BELGRAVIA,4,30,0,0,2,16,4,0,53.511796,-113.532729,93.0,142.0,64.0,45.0,325.0,46.0,171.0,671.0,62.0,337.0,21.0,357.0,96.0,74.0,113.0,58.0,59.0,47.0,63.0,102.0,308.0
19,BELLE RIVE,5,6,0,1,4,22,11,0,53.6223,-113.473596,94.0,207.0,118.0,142.0,172.0,94.0,195.0,1179.0,100.0,355.0,24.0,1054.0,62.0,174.0,203.0,87.0,51.0,62.0,20.0,16.0,487.0
20,BELLEVUE,8,15,0,3,1,34,8,0,53.566417,-113.445942,35.0,45.0,21.0,10.0,29.0,16.0,50.0,302.0,34.0,90.0,10.0,359.0,39.0,58.0,68.0,41.0,24.0,16.0,11.0,8.0,216.0
21,BELMEAD,19,17,0,3,2,40,15,0,53.525603,-113.64101499999998,151.0,272.0,143.0,121.0,123.0,108.0,247.0,1225.0,146.0,434.0,56.0,1599.0,131.0,231.0,201.0,102.0,65.0,52.0,25.0,10.0,825.0
22,BELMONT,15,18,0,7,5,37,15,2,53.593123999999996,-113.394379,268.0,397.0,137.0,116.0,79.0,143.0,237.0,1455.0,292.0,475.0,58.0,1565.0,132.0,263.0,231.0,125.0,68.0,51.0,7.0,11.0,1070.0
23,BELVEDERE,70,48,0,7,1,83,41,3,53.591057,-113.436063,189.0,227.0,98.0,93.0,99.0,115.0,209.0,1112.0,219.0,508.0,103.0,2197.0,343.0,326.0,239.0,74.0,38.0,20.0,10.0,6.0,1319.0
24,BERGMAN,2,8,0,2,0,20,9,1,53.579564,-113.40966699999998,39.0,74.0,41.0,45.0,33.0,52.0,74.0,474.0,55.0,188.0,19.0,459.0,39.0,86.0,69.0,39.0,26.0,22.0,11.0,7.0,265.0
25,BEVERLY HEIGHTS,24,44,0,4,7,50,19,2,53.564122,-113.402652,101.0,138.0,53.0,43.0,52.0,89.0,150.0,883.0,215.0,722.0,116.0,622.0,265.0,329.0,130.0,43.0,17.0,18.0,5.0,3.0,822.0
26,BISSET,16,17,0,4,1,41,27,0,53.458904999999994,-113.400659,194.0,234.0,106.0,83.0,94.0,111.0,204.0,1123.0,224.0,281.0,45.0,1247.0,74.0,189.0,183.0,62.0,42.0,27.0,5.0,7.0,782.0
27,BLACKBURNE,1,4,0,0,0,13,1,0,53.42907100000001,-113.498309,44.0,81.0,44.0,37.0,41.0,46.0,84.0,492.0,38.0,265.0,12.0,226.0,24.0,83.0,87.0,65.0,34.0,55.0,20.0,22.0,167.0
28,BLACKMUD CREEK,0,12,0,2,1,11,2,0,53.419661,-113.510788,133.0,271.0,102.0,85.0,120.0,108.0,157.0,1029.0,75.0,240.0,11.0,432.0,35.0,92.0,159.0,109.0,82.0,118.0,50.0,52.0,341.0
29,BLUE QUILL,10,24,0,6,2,32,8,1,53.457627,-113.526237,254.0,270.0,106.0,84.0,150.0,112.0,246.0,1366.0,269.0,297.0,22.0,1443.0,142.0,362.0,218.0,72.0,30.0,40.0,25.0,18.0,1034.0
30,BLUE QUILL ESTATES,3,8,0,0,1,6,1,0,53.457627,-113.540195,68.0,95.0,30.0,21.0,32.0,26.0,73.0,416.0,118.0,136.0,2.0,202.0,34.0,83.0,73.0,50.0,36.0,23.0,9.0,21.0,162.0
31,BONNIE DOON,47,53,0,6,5,66,23,5,53.52533700000001,-113.46711099999999,149.0,174.0,67.0,66.0,187.0,63.0,230.0,1313.0,152.0,497.0,39.0,1602.0,256.0,228.0,225.0,115.0,74.0,79.0,40.0,59.0,1056.0
32,BOYLE STREET,163,50,2,16,13,128,44,4,53.547631,-113.479263,121.0,111.0,36.0,31.0,151.0,54.0,300.0,1393.0,516.0,691.0,258.0,3078.0,826.0,487.0,303.0,87.0,41.0,32.0,10.0,14.0,2172.0
33,BRANDER GARDENS,3,6,1,0,0,21,6,1,53.49520900000001,-113.579425,107.0,206.0,67.0,53.0,100.0,53.0,135.0,643.0,110.0,289.0,21.0,690.0,115.0,129.0,132.0,49.0,46.0,42.0,16.0,27.0,495.0
34,BRECKENRIDGE GREENS,1,4,0,0,0,14,3,0,53.516526,-113.684351,90.0,146.0,64.0,51.0,62.0,58.0,102.0,788.0,49.0,213.0,19.0,248.0,25.0,93.0,179.0,92.0,58.0,70.0,23.0,19.0,189.0
35,BRINTNELL,10,7,0,1,3,38,12,1,53.621394,-113.407114,376.0,539.0,188.0,137.0,120.0,138.0,233.0,1843.0,132.0,158.0,23.0,2595.0,22.0,60.0,148.0,98.0,63.0,81.0,34.0,9.0,1581.0
36,BRITANNIA YOUNGSTOWN,56,40,0,9,4,72,41,1,53.546295,-113.60151,156.0,159.0,65.0,55.0,69.0,70.0,192.0,1104.0,253.0,370.0,104.0,2142.0,207.0,223.0,190.0,67.0,31.0,17.0,2.0,5.0,1475.0
37,BROOKSIDE,0,3,0,0,0,15,3,1,53.491831,-113.56812800000002,75.0,124.0,45.0,42.0,48.0,42.0,114.0,394.0,35.0,248.0,15.0,855.0,18.0,72.0,54.0,54.0,38.0,52.0,34.0,50.0,332.0
38,BULYEA HEIGHTS,1,10,0,1,0,5,1,1,53.474747,-113.569424,50.0,110.0,48.0,55.0,84.0,56.0,115.0,528.0,37.0,332.0,3.0,2021.0,17.0,39.0,81.0,47.0,35.0,57.0,43.0,55.0,816.0
39,CAERNARVON,26,9,0,3,4,33,24,2,53.6119,-113.52640200000002,151.0,231.0,111.0,67.0,60.0,100.0,164.0,935.0,138.0,440.0,38.0,1904.0,82.0,208.0,210.0,75.0,40.0,23.0,7.0,4.0,967.0
40,CALDER,48,43,0,5,1,98,38,4,53.588056,-113.528872,161.0,183.0,63.0,66.0,68.0,96.0,151.0,940.0,186.0,316.0,91.0,1683.0,239.0,221.0,190.0,70.0,43.0,19.0,7.0,5.0,955.0
41,CALLAGHAN,8,10,0,0,0,10,8,0,53.40734499999999,-113.526792,211.0,214.0,90.0,57.0,78.0,102.0,134.0,1160.0,129.0,141.0,6.0,1237.0,24.0,87.0,174.0,78.0,59.0,57.0,29.0,38.0,794.0
42,CALLINGWOOD NORTH,12,6,0,8,6,24,13,0,53.507598,-113.623025,152.0,167.0,56.0,37.0,56.0,52.0,117.0,882.0,134.0,177.0,29.0,517.0,126.0,247.0,207.0,50.0,14.0,8.0,5.0,2.0,450.0
