,NGH_Name,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Latitude,Longitude,Preschool,Kindergarten,Gr7-9,Gr10-12,Post-Secondary,Homemaker,Employed 0-30,Employed 30+,Unemployed,Retired,Permanently Unemployed,Employment_No Response,Income_Less than $30K,Income_30K to less than 60K,Income_60K to less than 100K,Income_100K to less than 125K,Income_125K to less than 150K,Income_150K to less than 200K,Income_200K to less than 250K,Income_250K or more,Income_No Response
89,GLASTONBURY,7,20,0,0,0,35,5,0,53.503187,-113.66987,281.0,513.0,205.0,147.0,153.0,146.0,293.0,2157.0,168.0,530.0,31.0,1769.0,62.0,221.0,404.0,212.0,156.0,134.0,66.0,47.0,1163.0
90,GLENGARRY,37,21,0,8,5,76,29,0,53.595855,-113.47961200000002,98.0,105.0,62.0,38.0,53.0,76.0,106.0,676.0,118.0,546.0,52.0,1079.0,200.0,149.0,128.0,59.0,21.0,26.0,6.0,2.0,650.0
91,GLENORA,12,53,0,1,4,39,13,0,53.54490499999999,-113.557043,101.0,214.0,137.0,81.0,117.0,85.0,207.0,999.0,49.0,442.0,17.0,1064.0,51.0,85.0,124.0,64.0,55.0,75.0,45.0,108.0,838.0
92,GLENWOOD,50,54,0,19,10,56,30,2,53.536417,-113.60277,176.0,244.0,102.0,93.0,85.0,78.0,248.0,1302.0,225.0,647.0,78.0,1701.0,404.0,435.0,251.0,83.0,34.0,26.0,6.0,2.0,943.0
93,GOLD BAR,1,10,0,0,2,32,17,0,53.548908,-113.412004,122.0,181.0,86.0,59.0,53.0,77.0,152.0,885.0,108.0,393.0,28.0,655.0,83.0,138.0,213.0,94.0,55.0,43.0,23.0,13.0,459.0
94,GRANDVIEW HEIGHTS,0,5,0,0,0,7,0,1,53.501165,-113.54891,49.0,82.0,42.0,48.0,35.0,33.0,65.0,309.0,24.0,154.0,3.0,295.0,9.0,17.0,20.0,28.0,22.0,24.0,25.0,54.0,236.0
95,GRANVILLE,2,4,0,0,1,6,5,0,53.504872,-113.682797,115.0,114.0,39.0,28.0,17.0,49.0,57.0,541.0,34.0,49.0,8.0,518.0,7.0,28.0,77.0,74.0,63.0,58.0,18.0,17.0,261.0
96,GREENFIELD,4,22,0,2,1,25,5,0,53.471073,-113.527505,119.0,203.0,118.0,118.0,153.0,86.0,218.0,961.0,86.0,616.0,20.0,989.0,57.0,146.0,214.0,125.0,80.0,78.0,44.0,29.0,628.0
97,GREENVIEW,12,11,0,1,1,20,8,0,53.475394,-113.42781,103.0,165.0,98.0,81.0,86.0,84.0,150.0,805.0,91.0,285.0,29.0,666.0,74.0,147.0,159.0,89.0,43.0,50.0,20.0,16.0,357.0
98,GRIESBACH,15,31,0,4,0,39,8,1,53.606808,-113.504229,335.0,334.0,87.0,56.0,68.0,91.0,143.0,1059.0,101.0,218.0,29.0,2193.0,39.0,116.0,167.0,72.0,66.0,77.0,48.0,24.0,1145.0
